event_id,t0_idx,target_idx_10,target_idx_20,target_idx_30,event_datetime,year,season,t0_datetime,target_datetime_10,target_datetime_20,target_datetime_30
200500700,2,3,4,5,2020-02-19 07:00:00,2020,DJF,2020-02-19 07:20:00,2020-02-19 07:30:00,2020-02-19 07:40:00,2020-02-19 07:50:00
200500700,3,4,5,6,2020-02-19 07:00:00,2020,DJF,2020-02-19 07:30:00,2020-02-19 07:40:00,2020-02-19 07:50:00,2020-02-19 08:00:00
200500700,4,5,6,7,2020-02-19 07:00:00,2020,DJF,2020-02-19 07:40:00,2020-02-19 07:50:00,2020-02-19 08:00:00,2020-02-19 08:10:00
200500700,5,6,7,8,2020-02-19 07:00:00,2020,DJF,2020-02-19 07:50:00,2020-02-19 08:00:00,2020-02-19 08:10:00,2020-02-19 08:20:00
200500700,6,7,8,9,2020-02-19 07:00:00,2020,DJF,2020-02-19 08:00:00,2020-02-19 08:10:00,2020-02-19 08:20:00,2020-02-19 08:30:00
200500700,7,8,9,10,2020-02-19 07:00:00,2020,DJF,2020-02-19 08:10:00,2020-02-19 08:20:00,2020-02-19 08:30:00,2020-02-19 08:40:00
200500700,8,9,10,11,2020-02-19 07:00:00,2020,DJF,2020-02-19 08:20:00,2020-02-19 08:30:00,2020-02-19 08:40:00,2020-02-19 08:50:00
200500700,9,10,11,12,2020-02-19 07:00:00,2020,DJF,2020-02-19 08:30:00,2020-02-19 08:40:00,2020-02-19 08:50:00,2020-02-19 09:00:00
200500700,10,11,12,13,2020-02-19 07:00:00,2020,DJF,2020-02-19 08:40:00,2020-02-19 08:50:00,2020-02-19 09:00:00,2020-02-19 09:10:00
200500700,11,12,13,14,2020-02-19 07:00:00,2020,DJF,2020-02-19 08:50:00,2020-02-19 09:00:00,2020-02-19 09:10:00,2020-02-19 09:20:00
200500700,12,13,14,15,2020-02-19 07:00:00,2020,DJF,2020-02-19 09:00:00,2020-02-19 09:10:00,2020-02-19 09:20:00,2020-02-19 09:30:00
200500700,13,14,15,16,2020-02-19 07:00:00,2020,DJF,2020-02-19 09:10:00,2020-02-19 09:20:00,2020-02-19 09:30:00,2020-02-19 09:40:00
200500700,14,15,16,17,2020-02-19 07:00:00,2020,DJF,2020-02-19 09:20:00,2020-02-19 09:30:00,2020-02-19 09:40:00,2020-02-19 09:50:00
200500700,15,16,17,18,2020-02-19 07:00:00,2020,DJF,2020-02-19 09:30:00,2020-02-19 09:40:00,2020-02-19 09:50:00,2020-02-19 10:00:00
200500700,16,17,18,19,2020-02-19 07:00:00,2020,DJF,2020-02-19 09:40:00,2020-02-19 09:50:00,2020-02-19 10:00:00,2020-02-19 10:10:00
200500700,17,18,19,20,2020-02-19 07:00:00,2020,DJF,2020-02-19 09:50:00,2020-02-19 10:00:00,2020-02-19 10:10:00,2020-02-19 10:20:00
200500700,18,19,20,21,2020-02-19 07:00:00,2020,DJF,2020-02-19 10:00:00,2020-02-19 10:10:00,2020-02-19 10:20:00,2020-02-19 10:30:00
200500700,19,20,21,22,2020-02-19 07:00:00,2020,DJF,2020-02-19 10:10:00,2020-02-19 10:20:00,2020-02-19 10:30:00,2020-02-19 10:40:00
200500700,20,21,22,23,2020-02-19 07:00:00,2020,DJF,2020-02-19 10:20:00,2020-02-19 10:30:00,2020-02-19 10:40:00,2020-02-19 10:50:00
200500700,21,22,23,24,2020-02-19 07:00:00,2020,DJF,2020-02-19 10:30:00,2020-02-19 10:40:00,2020-02-19 10:50:00,2020-02-19 11:00:00
200500700,22,23,24,25,2020-02-19 07:00:00,2020,DJF,2020-02-19 10:40:00,2020-02-19 10:50:00,2020-02-19 11:00:00,2020-02-19 11:10:00
200500700,23,24,25,26,2020-02-19 07:00:00,2020,DJF,2020-02-19 10:50:00,2020-02-19 11:00:00,2020-02-19 11:10:00,2020-02-19 11:20:00
200500700,24,25,26,27,2020-02-19 07:00:00,2020,DJF,2020-02-19 11:00:00,2020-02-19 11:10:00,2020-02-19 11:20:00,2020-02-19 11:30:00
200500700,25,26,27,28,2020-02-19 07:00:00,2020,DJF,2020-02-19 11:10:00,2020-02-19 11:20:00,2020-02-19 11:30:00,2020-02-19 11:40:00
200500700,26,27,28,29,2020-02-19 07:00:00,2020,DJF,2020-02-19 11:20:00,2020-02-19 11:30:00,2020-02-19 11:40:00,2020-02-19 11:50:00
200500700,27,28,29,30,2020-02-19 07:00:00,2020,DJF,2020-02-19 11:30:00,2020-02-19 11:40:00,2020-02-19 11:50:00,2020-02-19 12:00:00
200500700,28,29,30,31,2020-02-19 07:00:00,2020,DJF,2020-02-19 11:40:00,2020-02-19 11:50:00,2020-02-19 12:00:00,2020-02-19 12:10:00
200500700,29,30,31,32,2020-02-19 07:00:00,2020,DJF,2020-02-19 11:50:00,2020-02-19 12:00:00,2020-02-19 12:10:00,2020-02-19 12:20:00
200500700,30,31,32,33,2020-02-19 07:00:00,2020,DJF,2020-02-19 12:00:00,2020-02-19 12:10:00,2020-02-19 12:20:00,2020-02-19 12:30:00
200500700,31,32,33,34,2020-02-19 07:00:00,2020,DJF,2020-02-19 12:10:00,2020-02-19 12:20:00,2020-02-19 12:30:00,2020-02-19 12:40:00
200500700,32,33,34,35,2020-02-19 07:00:00,2020,DJF,2020-02-19 12:20:00,2020-02-19 12:30:00,2020-02-19 12:40:00,2020-02-19 12:50:00
200500700,33,34,35,36,2020-02-19 07:00:00,2020,DJF,2020-02-19 12:30:00,2020-02-19 12:40:00,2020-02-19 12:50:00,2020-02-19 13:00:00
200500700,34,35,36,37,2020-02-19 07:00:00,2020,DJF,2020-02-19 12:40:00,2020-02-19 12:50:00,2020-02-19 13:00:00,2020-02-19 13:10:00
200500700,35,36,37,38,2020-02-19 07:00:00,2020,DJF,2020-02-19 12:50:00,2020-02-19 13:00:00,2020-02-19 13:10:00,2020-02-19 13:20:00
200610100,2,3,4,5,2020-03-01 01:00:00,2020,MAM,2020-03-01 01:20:00,2020-03-01 01:30:00,2020-03-01 01:40:00,2020-03-01 01:50:00
200610100,3,4,5,6,2020-03-01 01:00:00,2020,MAM,2020-03-01 01:30:00,2020-03-01 01:40:00,2020-03-01 01:50:00,2020-03-01 02:00:00
200610100,4,5,6,7,2020-03-01 01:00:00,2020,MAM,2020-03-01 01:40:00,2020-03-01 01:50:00,2020-03-01 02:00:00,2020-03-01 02:10:00
200610100,5,6,7,8,2020-03-01 01:00:00,2020,MAM,2020-03-01 01:50:00,2020-03-01 02:00:00,2020-03-01 02:10:00,2020-03-01 02:20:00
200610100,6,7,8,9,2020-03-01 01:00:00,2020,MAM,2020-03-01 02:00:00,2020-03-01 02:10:00,2020-03-01 02:20:00,2020-03-01 02:30:00
200610100,7,8,9,10,2020-03-01 01:00:00,2020,MAM,2020-03-01 02:10:00,2020-03-01 02:20:00,2020-03-01 02:30:00,2020-03-01 02:40:00
200610100,8,9,10,11,2020-03-01 01:00:00,2020,MAM,2020-03-01 02:20:00,2020-03-01 02:30:00,2020-03-01 02:40:00,2020-03-01 02:50:00
200610100,9,10,11,12,2020-03-01 01:00:00,2020,MAM,2020-03-01 02:30:00,2020-03-01 02:40:00,2020-03-01 02:50:00,2020-03-01 03:00:00
200610100,10,11,12,13,2020-03-01 01:00:00,2020,MAM,2020-03-01 02:40:00,2020-03-01 02:50:00,2020-03-01 03:00:00,2020-03-01 03:10:00
200610100,11,12,13,14,2020-03-01 01:00:00,2020,MAM,2020-03-01 02:50:00,2020-03-01 03:00:00,2020-03-01 03:10:00,2020-03-01 03:20:00
200610100,12,13,14,15,2020-03-01 01:00:00,2020,MAM,2020-03-01 03:00:00,2020-03-01 03:10:00,2020-03-01 03:20:00,2020-03-01 03:30:00
200610100,13,14,15,16,2020-03-01 01:00:00,2020,MAM,2020-03-01 03:10:00,2020-03-01 03:20:00,2020-03-01 03:30:00,2020-03-01 03:40:00
200610100,14,15,16,17,2020-03-01 01:00:00,2020,MAM,2020-03-01 03:20:00,2020-03-01 03:30:00,2020-03-01 03:40:00,2020-03-01 03:50:00
200610100,15,16,17,18,2020-03-01 01:00:00,2020,MAM,2020-03-01 03:30:00,2020-03-01 03:40:00,2020-03-01 03:50:00,2020-03-01 04:00:00
200610100,16,17,18,19,2020-03-01 01:00:00,2020,MAM,2020-03-01 03:40:00,2020-03-01 03:50:00,2020-03-01 04:00:00,2020-03-01 04:10:00
200610100,17,18,19,20,2020-03-01 01:00:00,2020,MAM,2020-03-01 03:50:00,2020-03-01 04:00:00,2020-03-01 04:10:00,2020-03-01 04:20:00
200610100,18,19,20,21,2020-03-01 01:00:00,2020,MAM,2020-03-01 04:00:00,2020-03-01 04:10:00,2020-03-01 04:20:00,2020-03-01 04:30:00
200610100,19,20,21,22,2020-03-01 01:00:00,2020,MAM,2020-03-01 04:10:00,2020-03-01 04:20:00,2020-03-01 04:30:00,2020-03-01 04:40:00
200610100,20,21,22,23,2020-03-01 01:00:00,2020,MAM,2020-03-01 04:20:00,2020-03-01 04:30:00,2020-03-01 04:40:00,2020-03-01 04:50:00
200610100,21,22,23,24,2020-03-01 01:00:00,2020,MAM,2020-03-01 04:30:00,2020-03-01 04:40:00,2020-03-01 04:50:00,2020-03-01 05:00:00
200610100,22,23,24,25,2020-03-01 01:00:00,2020,MAM,2020-03-01 04:40:00,2020-03-01 04:50:00,2020-03-01 05:00:00,2020-03-01 05:10:00
200610100,23,24,25,26,2020-03-01 01:00:00,2020,MAM,2020-03-01 04:50:00,2020-03-01 05:00:00,2020-03-01 05:10:00,2020-03-01 05:20:00
200610100,24,25,26,27,2020-03-01 01:00:00,2020,MAM,2020-03-01 05:00:00,2020-03-01 05:10:00,2020-03-01 05:20:00,2020-03-01 05:30:00
200610100,25,26,27,28,2020-03-01 01:00:00,2020,MAM,2020-03-01 05:10:00,2020-03-01 05:20:00,2020-03-01 05:30:00,2020-03-01 05:40:00
200610100,26,27,28,29,2020-03-01 01:00:00,2020,MAM,2020-03-01 05:20:00,2020-03-01 05:30:00,2020-03-01 05:40:00,2020-03-01 05:50:00
200610100,27,28,29,30,2020-03-01 01:00:00,2020,MAM,2020-03-01 05:30:00,2020-03-01 05:40:00,2020-03-01 05:50:00,2020-03-01 06:00:00
200610100,28,29,30,31,2020-03-01 01:00:00,2020,MAM,2020-03-01 05:40:00,2020-03-01 05:50:00,2020-03-01 06:00:00,2020-03-01 06:10:00
200610100,29,30,31,32,2020-03-01 01:00:00,2020,MAM,2020-03-01 05:50:00,2020-03-01 06:00:00,2020-03-01 06:10:00,2020-03-01 06:20:00
200610100,30,31,32,33,2020-03-01 01:00:00,2020,MAM,2020-03-01 06:00:00,2020-03-01 06:10:00,2020-03-01 06:20:00,2020-03-01 06:30:00
200610100,31,32,33,34,2020-03-01 01:00:00,2020,MAM,2020-03-01 06:10:00,2020-03-01 06:20:00,2020-03-01 06:30:00,2020-03-01 06:40:00
200610100,32,33,34,35,2020-03-01 01:00:00,2020,MAM,2020-03-01 06:20:00,2020-03-01 06:30:00,2020-03-01 06:40:00,2020-03-01 06:50:00
200610100,33,34,35,36,2020-03-01 01:00:00,2020,MAM,2020-03-01 06:30:00,2020-03-01 06:40:00,2020-03-01 06:50:00,2020-03-01 07:00:00
200610100,34,35,36,37,2020-03-01 01:00:00,2020,MAM,2020-03-01 06:40:00,2020-03-01 06:50:00,2020-03-01 07:00:00,2020-03-01 07:10:00
200610100,35,36,37,38,2020-03-01 01:00:00,2020,MAM,2020-03-01 06:50:00,2020-03-01 07:00:00,2020-03-01 07:10:00,2020-03-01 07:20:00
200621300,2,3,4,5,2020-03-02 13:00:00,2020,MAM,2020-03-02 13:20:00,2020-03-02 13:30:00,2020-03-02 13:40:00,2020-03-02 13:50:00
200621300,3,4,5,6,2020-03-02 13:00:00,2020,MAM,2020-03-02 13:30:00,2020-03-02 13:40:00,2020-03-02 13:50:00,2020-03-02 14:00:00
